Company Overview,,Vendor Answers,Additional Information
DOCU-11,Do you have a documented change management process?,Yes,"A documented change management process is in place, which is in line with ISO 27001 standards. Instructure's ISO 27001 certificate is available in the Intelligent Insights Compliance Package."
DOCU-12,Has a VPAT or ACR been created or updated for the product and version under consideration within the past year?,No,"Currently, there is no VPAT for Intelligent Insights at this time."
DOCU-13,Do you have documentation to support the accessibility features of your product?,Yes,"Instructure is committed to delivering products that are accessible and inclusive. We target WCAG 2.1 AA standards in our development and have established our own NFR ladders regarding accessibility. We also recognize that software accessibility is often a journey more than it is a destination, and so we acknowledge and commit to continuous improvement.
 
 As part of the development process, new and changed interfaces are evaluated for continued compliance with WCAG 2.1 AA. We employ accessibility experts to go above and beyond the written guidelines to ensure we keep advancing the product toward an enjoyable experience for people with a range of accessibility needs, including those using assistive technologies."
IT Accessibility ,,Vendor Answers,Additional Information
ITAC-01,Has a third-party expert conducted an accessibility audit of the most recent version of your product?,No,A third-party has not conducted an accessibility audit at this time.
ITAC-02,Do you have a documented and implemented process for verifying accessibility conformance?,Yes,"Testing is regularly conducted using automated tools, assistive technology (such as screen readers, keyboard testing, etc.), and coding best practices. Mechanisms are in place for logging and fixing accessibility defects."
ITAC-03,Have you adopted a technical or legal accessibility standard of conformance for the product in question?,Yes,"Instructure is committed to delivering products that are accessible and inclusive. We target WCAG 2.1 AA standards in our development and have established our own NFR ladders regarding accessibility. We also recognize that software accessibility is often a journey more than it is a destination, and so we acknowledge and commit to continuous improvement."
ITAC-04,"Can you provide a current, detailed accessibility roadmap with delivery timelines?",No,"While we do have internal plans and track major initiatives in the accessibility space, we don't have a publicly available roadmap because accessibility is built into every aspect of our products. There are no destinations to reach on a roadmap - accessibility is a permanent and ongoing process from design through to support for our customers and we are constantly working at ensuring our products are accessible and conform to industry frameworks such as WCAG."
ITAC-05,Do you expect your staff to maintain a current skill set in IT accessibility?,Yes,"Accessibility is ingrained from Product Design through Engineering, and we have dedicated accessibility staff, subject matter experts, and Product Managers. Internally, from all aspects of the business, we maintain a number of accessibility advocates who meet regularly to raise issues, discuss trends, and maintain skills and knowledge in the accessibility space."
ITAC-06,Do you have a documented and implemented process for reporting and tracking accessibility issues?,Yes,"Any accessibility issues detected during testing or use of Intelligent Insights (internal or external) are filed to our issue-tracking system, Jira. Once entered, they are assigned to the internal accessibility team for triage and assessment. These issues are then tracked through to resolution in accordance with company policy and industry best practice recommendations. Our processes are evaluated against ISO 27001 standards."
ITAC-07,Do you have documented processes and procedures for implementing accessibility into your development lifecycle?,Yes,"Instructure has a dedicated team of accessibility specialists that support Instructure's accessibility engineering efforts. The team is responsible for Intelligent Insights accessibility needs, development, and testing, along with helping train new engineers on accessible development practices, supporting development projects with design reviews, as well as audits as requested, and interacting with customers, external auditors and stakeholders. Our accessibility team ensures we strive for conformance to standards and features are developed that provide full capabilities and a positive learning and teaching experience to all users."
ITAC-08,Can all functions of the application or service be performed using only the keyboard?,Yes,Intelligent Insights supports standard keyboard navigation and ensures that keyboard users cannot be trapped in a subset of content.
ITAC-09,"Does your product rely on activating a special ""accessibility mode,"" a ""lite version,"" or accessing an alternate interface for accessibility purposes?",No,
Application/Service Security,,Vendor Answers,Additional Information
HLAP-01,"Are access controls for institutional accounts based on structured rules, such as role-based access control (RBAC), attribute-based access control (ABAC), or policy-based access control (PBAC)?",Yes,"Intelligent Insights access is part of Canvas LMS' overall RBAC access. Only Canvas administrators have access to Intelligent Insights via an assigned Canvas permission. This restricted access model ensures that only authorized personnel can manage and interact with the data, maintaining the integrity and security of the system. As user permissions are managed within Canvas, they align with institutional policies and access controls to safeguard sensitive information. Administrators with the relevant access may generate reports and queries for all in-scope data tables."
HLAP-02,"Are access controls for staff within your organization based on structured rules, such as RBAC, ABAC, or PBAC?",Yes,"Instructure's primary method of assigning and maintaining consistent access controls and access rights is through the implementation of Role-Based Access Control (RBAC). Wherever feasible, rights and restrictions shall be allocated to groups or roles. Individual user accounts may be granted additional permissions as needed with approval from the system owner or authorized party. Instructure shall determine the type and level of access granted to individual users based on the “principle of least privilege.” This principle states that users are only granted the level of access absolutely required to perform their job functions. Permissions and access rights not expressly granted shall be, by default, prohibited."
HLAP-03,"Do you have a documented and currently implemented strategy for securing employee workstations when they work remotely (i.e., not in a trusted computing environment)?",Yes,"Instructure maintains an IT Acceptable Use Policy that addresses the acceptable use of work from home (WFH) devices and outlines prohibited uses such as jailbroken devices, storing of customer data, or using devices without Instructure's DM-profile present. Instructure's DM platforms (Jamf & Azure), can track, manage, and secure Instructure-owned devices remotely on demand."
HLAP-04,Does the system provide data input validation and error messages?,Yes,"Where possible, forms and fields provide helpful messaging to users to assist with accurate and adequate data input. Intelligent Insights is continually being improved to better serve users in user experience and understanding."
HLAP-05,Are you using a web application firewall (WAF)?,Yes,Intelligent Insights uses AWS WAF with a customized and prioritized ruleset which filters traffic before it reaches the load balancer. The WAF is enabled for all regions. 
HLAP-06,"Do you have a process and implemented procedures for managing your software supply chain (e.g., libraries, repositories, frameworks, etc.)?",Yes,"Managing our software supply chain forms part of our Vulnerability Management Policy. Instructure's information security policies and standards are based on information security best practices as set forth by the International Organization for Standardization's (ISO) 27000 suite of standards, NIST's 800-53 suite of controls, and the AICPA's Trust Service Principles and Criteria. Instructure maintains ISO 27001 certification."
"Authentication, Authorization, and Accounting",,Vendor Answers,Additional Information
HLAA-01,Does your solution support single sign-on (SSO) protocols for user and administrator authentication?,Yes,"Authnetication for Intelligent Insights is via Canvas LMS authentication. This includes the enabling of SSO solutions. Canvas LMS supports centralised identity management and delegated authentication via integrations with external identity providers (IdPs) including Central Authentication Service (CAS), Clever, Microsoft (Active Directory, Azure AD), OAuth, OpenID Connect, SAML 2.0 and Shibboleth. Canvas LMS supports federated identity management and Single Sign-On (SSO) via integrations with SAML, Shibboleth, CAS, and Microsoft (AD/Azure)."
HLAA-02,Does your organization participate in InCommon or another eduGAIN-affiliated trust federation?,Yes,Instructure's InCommon membership may be viewed at: https://incommon.org/community-organization/?id=0015000000m45ZFAAY
HLAA-03,Does your application support integration with other authentication and authorization systems?,Yes,"Intelligent Insights authentication for users is managed by Canvas LMS which includes centralized identity management and delegated authentication via integrations with external identity providers (IdPs) including Central Authentication Service (CAS), Clever, Microsoft (Active Directory, Azure AD), OAuth, OpenID Connect, SAML 2.0 and Shibboleth."
HLAA-04,"Does your solution support any of the following Web SSO standards? [e.g., SAML2 (with redirect flow), OIDC, CAS, or other]",Yes,"Intelligent Insights SSO is available via Canvas LMS SSO which supports SAML2-based (e.g. Shibboleth, Okta) and Oauth2 based-SSO communication (e.g. OpenID) via Canvas LMS authentication methods."
HLAA-05,Do you support differentiation between email address and user identifier?,Yes,
HLAA-06,"Do you allow the customer to specify attribute mappings for any needed information beyond a user identifier? (e.g., Reference eduPerson, ePPA/ePPN/ePE)",No,
HLAA-07,"Are audit logs available to the institution that include AT LEAST all of the following: login, logout, actions performed, timestamp, and source IP address?",Yes,"User session login and logout can be provided by Canvas LMS. Actions will be also logged when users launch Intelligent Insights (LTI) from within Canvas LMS. Any other actions are logged as http endpoint access and user sessions can be individually tracked down from these log events and provided on request.

Note, there are no backend logs available at this time for the Ask Your Data functioanlity, provided by our third-party processor."
HLAA-08,"If you don't support SSO, does your application and/or user-frontend/portal support multi-factor authentication? (e.g., Duo, Google Authenticator, OTP, etc.)",Yes,Authentication in Intelligent Insights is managed by Canvas LMS which does offer local authentication with multi-factor support.
HLAA-09,Does your application automatically lock the session or log-out an account after a period of inactivity?,Yes,Local authentication timeouts can be configured from 20 minutes to 24 hours (default). SSO authentication uses the timeout configured in the IdP. Mobile applications timeout after 48 hours.
Systems Management,,Vendor Answers,Additional Information
HLSY-01,"Do you have a systems management and configuration strategy that encompasses servers, appliances, cloud services, applications, and mobile devices (company and employee owned)?",Yes,"Instructure maintains both a Network Security Policy and a IT Acceptable Use Policy which outline procedures, processed and policies for all endpoints on both production and corporate networks. These policies are evaluated against both SOC 2 and ISO 27001 standards. Instructure also maintains a Bring Your Own Device (BYOD) policy which prohibits a number of insecure parameters and ensures BYOD devices only connect through trusted networks."
HLSY-02,Will the institution be notified of major changes to your environment that could impact the institution's security posture?,,"Instructure emails detailed release notes to our customer’s administrators in advance of the release dates describing the new features, modified features, and/or bug fixes. Any major changes which may impact an institution's security posture will also be communicated via this method. The update/upgrade release notes are available to all Intelligent Insights users at https://inst.bid/intelligent-insights/releases"
HLSY-03,Are your systems and applications scanned for vulnerabilities [that are then remediated] prior to new releases?,Yes,"Regular vulnerability scans of Intelligent Insights completed using third-party tools, custom scripts, and various open source tools. If any vulnerabilities are detected, Instructure's security and engineering teams work together to analyze, design, and develop the required patch."
HLSY-04,Have your systems and applications had a third-party security assessment completed in the past year?,Yes,"Third-party vulnerability testing occurs annually, as part of the Canvas LMS testing, as well as via our Bug Bounty program performed by BugCrowd, the results of which we make available to customers on request."
HLSY-05,"Do you have policy and procedure, currently implemented, guiding how security risks are mitigated until patches can be applied?",Yes,"Instructure's Risk Management Policy establishes an approach and process for continually identifying, assessing, mitigating, and monitoring risks that impact Instructure’s people, systems, buildings, and processes. This policy is based on guidance from the National Institute of Standards and Technology’s (NIST) Special Publication (SP) 800-37 and International Organization for Standardization (ISO) 27005: Information Security Risk Management.
 
 In brief, Instructure's policy ensures that our Security team:
 
 1. Identifies threats and risks that may affect our assets (including personnel, systems, data, processes, buildings, and other assets).
 
 2. Assess threats, risks, and vulnerabilities, based on the likelihood (probability) of occurrence and the impact, that would affect the assets identified above. During this process, Instructure assesses a threats likelihood of occurring and the impact of the potential risk. Using this information we assign it an 'Overall Risk' value.
 
 3. Mitigate risks according to each risk's respective Overall Risk value.
 
 4. Monitor mitigation mechanisms to determine the effectiveness of each mitigation plan on each risk over time. Additional mitigation mechanisms may be required to continue to drive down the likelihood and/or impact of each risk."
Data,,Vendor Answers,Additional Information
HLDA-01,"Does the environment provide for dedicated single-tenant capabilities? If not, describe how your product or environment separates data from different customers (e.g., logically, physically, single tenancy, multi-tenancy).",Yes,"Clients are logically separated via horizontal and vertical partitioning within a multi-tenant, single instance web application."
HLDA-02,"Is sensitive data encrypted, using secure protocols/algorithms, in transport? (e.g., system-to-client)",Yes,All data transferred in and out of Intelligent Insights is done via TLS over port 443. Port 80 is open on load balancers and only serves to redirect to port 443. Data transferred when using Ask Your Data is encrypred in transit to our third-party vendor for processing.
HLDA-03,"Is sensitive data encrypted, using secure protocols/algorithms, in storage? (e.g., disk encryption, at-rest, files, and within a running database)",Yes,All data is encrypted at rest within Intelligent Insights using AES-256.
HLDA-04,Are involatile backup copies made according to predefined schedules and securely stored and protected?,Yes,"Digital-site recovery backups are created and encrypted using the AES-GCM 256-bit algorithm and stored on encrypted AWS EBS volumes, within a highly secured location that provides physical and environmental security measures."
HLDA-05,Can the institution extract a full or partial backup of data?,Yes,"Instead of providing full or partial backups, customers can extract full or partial data from Intelligent Insights via Canvas Data 2 and our DAP Platform.

In the event of a system level outage or data loss, Instructure's operations teams will restore the system and data. If the client deletes/removes data we recommend engaging our support team which will escalate internally for us to investigate whether restoration is possible. "
HLDA-06,"Do you have a media handling process that is documented and currently implemented that meets established business needs and regulatory requirements, including end-of-life, repurposing, and data sanitization procedures?",Yes,"When storage devices have reached end of life, AWS procedures include a decommissioning process that is designed to prevent customer data from being exposed to unauthorized individuals. AWS uses the techniques detailed in DoD 5220.22-M (“National Industrial Security Program Operating Manual “) or NIST SP 800-88 (“Guidelines for Media Sanitization”) to destroy data as part of the decommissioning process. If a hardware device is unable to be decommissioned using these procedures, the device will be degaussed or physically destroyed in accordance with industry-standard practices."
HLDA-07,"Does your staff (or third party) have access to institutional data (e.g., financial, PHI or other sensitive information) within the application/system?",Yes,"Various personnel may have access to FERPA directory data within the scope of their roles, and as defined in the agreement between Instructure and the client. Access is only used in the scope of the role and in support of execution of the contract and services.

Our third party vendor, Doowii, provides the Ask Your Data service within Intelligent Insights and they have access to institutional data to be able to provide the service. Instructure has performed a detailed review of their security posture."
Datacenter,,Vendor Answers,Additional Information
HLDC-01,Does your company manage the physical data center where the institution's data will reside?,No,"Instructure uses Amazon Web Services (AWS) data centers, which are staffed 24x7x365 by professional security staff, as well as monitored by video surveillance, intrusion detection systems, and other electronic means. The data centers are operated in compliance with ISO/IEC 27001:2013 standards. Further detail on AWS data center security can be found at: https://aws.amazon.com/compliance/data-center/controls/

Intelligent Insights Ask Your Data functionality uses Google Cloud Platform to host customer data via our third party processor, Doowii."
HLDC-02,Are you generally able to accomodate storing each institution's data within their geographic region?,Yes,"Intelligent Insights supports the following regions:
 
 For United States and Latin America clients:
 • Virginia (US-East-1)
 • Oregon (US-West-1)
 
 For Canadian clients:
 • Montreal, CA (CA-Central-1)
 
 For European clients:
 • Dublin (EU-West-1)
 • Frankfurt (EU-Central-1)
 
 For clients in Asia Pacific:
 • Singapore (AP-Southeast-1)
 • Sydney (AP-Southeast-2)
"
HLDC-03,Does the hosting provider have a SOC 2 Type 2 report available?,Yes,"Instructure's NDA with AWS does not allow us to distribute their NDA to our clients. Amazon have a SOC 3 report available at https://aws.amazon.com/compliance/

Google Cloud Platform has a SOC 2 report available. It can be made available on request."
HLDC-04,Does your organization have physical security controls and policies in place?,Yes,"At Instructure offices, where no client data is stored, electronic surveillance, physical authentication mechanisms, and reception desks are implemented. Instructure's physical security controls are evidenced in our SOC 2 report, a copy of which is available upon execution of an MNDA.

AWS physical security controls include but are not limited to perimeter controls such as fencing, walls, security staff, video surveillance, intrusion detection systems and other electronic means. The AWS SOC reports provides additional details on the specific control activities executed by AWS. Refer to ISO 27001 standards; Annex A, domain 11 for further information. AWS has been validated and certified by an independent auditor to confirm alignment with ISO 27001 certification standard.

Google Cloud Platform data centers are protected with several layers of security to prevent any unauthorized access to data. The use of secure perimeter defense systems, comprehensive camera coverage, biometric authentication, and 24/7 guard staff ensure customer data is secure. A strict access and security policy at data centers is enforced.

 
"
HLDC-05,Do you have physical access control and video surveillance to prevent/detect unauthorized access to your data center?,Yes,"Instructure uses Amazon Web Services (AWS) data centers, which are staffed 24x7x365 by professional security staff, as well as monitored by video surveillance, intrusion detection systems, and other electronic means. The data centers are operated in compliance with ISO/IEC 27001:2013 standards. Further detail on AWS data center security can be found at: https://aws.amazon.com/compliance/data-center/controls/

Intelligent Insights Ask Your Data functionality uses Google Cloud Platform to host customer data via our third party processor, Doowii. 

Google Cloud Platform data centers are protected with several layers of security to prevent any unauthorized access to data. The use of secure perimeter defense systems, comprehensive camera coverage, biometric authentication, and 24/7 guard staff ensure customer data is secure. A strict access and security policy at data centers is enforced."
Networking,,Vendor Answers,Additional Information
HLNT-01,"Do you enforce network segmentation between trusted and untrusted networks (i.e., Internet, DMZ, Extranet, etc.)?",Yes,
HLNT-02,Are you utilizing a stateful packet inspection (SPI) firewall?,Yes,"Intelligent Insights utilizes AWS Security Groups which perform stateful packet inspection on all rules. The AWS SG firewall keeps track of the state of network connections (such as TCP streams, UDP communication) traveling across it."
HLNT-03,Do you use an automated IDS/IPS system to monitor for intrusions?,Yes,"Instructure employs AWS GuardDuty for native, persistent intrusion detection on all applications. We review GuardDuty configuration on a quarterly basis and ensure it is applied to and working on all AWS accounts. GuardDuty uses machine learning, anomaly detection, and integrated threat intelligence to identify and prioritize potential and persistent threats. Threat intelligence coupled with machine learning and behavior models help detect activity such as cryptocurrency mining, credential compromise behavior, communication with known command-and-control servers, or API calls from known malicious IPs. Alerts are forwarded to the Instructure Security Team and all output is sent to Instructure's centralized logging management system for further analysis and alert generation."
HLNT-04,Are you employing any next-generation persistent threat (NGPT) monitoring?,Yes,"Instructure utilizes AWS’ Security Hub, a cloud security posture management (CSPM) service, that performs security best practice checks, aggregates alerts, and enables automated remediation. We also utilise AWS Inspector for vulnerability scanning, which scans all our instances in near-real time for vulnerabilities and any unintended network exposure. This gives us a much shorter Mean Time to Remediate (MTTR) and expedites vulnerability routing using multiple sources of vulnerability intelligence and current common vulnerabilities and exposures (CVE) information."
HLNT-05,Do you require connectivity to the institution's network for support/administration or access into any existing systems for integration purposes?,No,
Incident Handling,,Vendor Answers,Additional Information
HLIH-01,Do you have a formal incident response plan?,Yes,Instructure maintains a formal Incident Response Policy and Plan which is reviewed at least annually.
HLIH-02,Do you have an incident response process and reporting in place to investigate any potential incidents and report actual incidents?,Yes,Any incident alerts triggered are sent to the appropriate teams 24x7x365 via PagerDuty for investigation and response.
HLIH-03,"Do you carry cyber-risk insurance to protect against unforeseen service outages, data that is lost or stolen, and security incidents?",Yes,"Instructure’s general liability insurance includes Cyber Errors & Omissions coverage (referred to as ""Professional Errors & Omission""). Instructure’s certificate of liability insurance is provided with the Intelligent Insights Package."
HLIH-04,Do you have either an internal incident response team or retain an external team?,Yes,"At the first sign of an incident, Instructure’s Chief Information Security and Privacy Officer (CISPO) will assemble an internal incident response team. The composition and charge of the team will depend upon the type of breach and resulting data exposure. The team conducts a preliminary assessment to help develop a tailored response. Once the incident is contained, this team will also evaluate changes in processes, systems and/or policies to prevent a repeat event."
HLIH-05,Do you have the capability to respond to incidents on a 24 x 7 x 365 basis?,Yes,PagerDuty sends alerts 24x7x365 for investigation and response.
"Policies, Procedures, and Processes",,Vendor Answers,Additional Information
HLPP-01,"Can you share the organization chart, mission statement, and policies for your information security unit?",Yes,"Instructure works diligently to protect our customers, our people, data, and systems. Instructure's security program is overseen by our Chief Information Security and Privacy Officer (CISPO) who is accountable for the implementation and execution of company policies, audits, and ensuring the security program conforms to the relevant ISO/IEC 27000, AICPA Trust Services Principles and Criteria (as applicable as part of compliance with SOC 1 and SOC 2), NIST SP 800-53 r4 (as applicable), and other applicable security standards. Members of Instructure's security team have many years of experience with security audits by major corporations and government agencies. Our technical staff are dedicated to servicing, managing, and securing operating systems, applications, drivers and hardware devices.
 
 Instructure's information security policies and standards are based on information security best practices as set forth by the International Organization for Standardization's (ISO) 27000 suite of standards, NIST's 800-53 suite of controls, and the AICPA's Trust Service Principles and Criteria."
HLPP-02,Are information security principles designed into the product lifecycle?,Yes,"Information security principles are designed into the product lifecycle and are based on the Open Web Application Security Project (OWASP) secure coding practices, security auditing, code review documents, and other community sources on best security practices."
HLPP-03,Do you have a documented information security policy?,Yes,"Instructure maintains a documented information security policy which is reviewed at least annually and approved by relevant stakeholders and the Information Security Team. The purpose of the policy is to describe Instructure’s overarching security policy for protecting and securing Instructure's assets. Assets include, but are not limited to data, people, buildings, systems, applications, mechanisms, processes, and use of third parties. The policy also instantiates Instructure’s security program, which is a systematic approach to establishing, implementing, operating, monitoring, reviewing, maintaining, and improving Instructure's security program (and supporting processes). Instructure’s security policy and program are created based on guidance provided by ISO/IEC 27000:2018 and controls described in ISO/IEC 27001:2013. Instructure is ISO 27001:2013 certified."
Third Party Assessment,,,Additional Information
HLTP-01,"Will institutional data be shared with or hosted by any third parties? (e.g., any entity not wholly owned by your company is considered a third party)",Yes,"Instructure uses Doowii, a third party to process Ask Your Data requests from Intelligent Insights. Doowii hosts customer data on Google Cloud Platform. Other aspects of Intelligent Insights data is hosted by AWS, which Instructure uses to host customer data."
HLTP-02,"Do you perform security assessments of third-party companies with which you share data? (e.g., hosting providers, cloud services, PaaS, IaaS, SaaS)",Yes,"Instructure has a robust third party due diligence process. Prior to using any third party and on an annual basis thereafter, Instructure’s security team performs a security review of these vendors. Included as part of this review, the security team requests a copy of the third party's SOC 2 Type 2 report. If any exceptions or other issues are noted in these reports, the security team follows up as necessary to determine scope and impact. If a SOC 2 Type 2 report is not available, the security team provides the third party with questions related to the types of data, how those data elements are handled, and additional queries related to the status of security controls and processes implemented in the environment where data flow. Lastly, contractual obligations are put in place between Instructure and the third party to ensure security practices are in place and operating effectively."
HLTP-03,Do you have an implemented third-party management strategy?,Yes,"Instructure conducts security assessments of our vendors and subcontractors annually. These assessments are then entered into our Risk Register, OneTrust, for management and ongoing risk assessment. We request and review copies of third party assurance reports provided by these organizations on an ongoing basis."
HLTP-04,"Do you have a process and implemented procedures for managing your hardware supply chain? (e.g., telecommunications equipment, export licensing, computing devices)",Yes,Our processes and procedures cover regions in which we operate.
