v4.0.3	CONSENSUS ASSESSMENTS INITIATIVE QUESTIONNAIRE v4.0.3										
Question ID	Question	CSP CAIQ Answer	SSRM Control Ownership	CSP Implementation Description (Optional/Recommended)	CSC Responsibilities  (Optional/Recommended)			CCM Control ID	CCM Control Specification	CCM Control Title	CCM Domain Title
AIS-02.1	"Are baseline requirements to secure different applications established, documented,
and maintained?
"	Yes	CSP-owned					AIS-02	"Establish, document and maintain baseline requirements for securing
different applications.
"	Application Security Baseline Requirements	
AIS-03.1	"Are technical and operational metrics defined and implemented according to
business objectives, security requirements, and compliance obligations?
"	Yes	CSP-owned					AIS-03	"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.
"	Application Security Metrics	
AIS-04.1	"Is an SDLC process defined and implemented for application design, development,
deployment, and operation per organizationally designed security requirements?
"	Yes	CSP-owned	Instructure has a software development lifecycle (SDLC) that incorporates secure coding practices and controls. _All code goes through a developer peer-review process before it is merged into the code base repository. The code review includes security auditing based on the Open Web Application Security Project (OWASP) secure coding and code review documents (including the OWASP Top Ten) and other community sources on best security practices.				AIS-04	"Define and implement a SDLC process for application design, development,
deployment, and operation in accordance with security requirements defined by
the organization.
"	Secure Application Design and Development	
AIS-05.1	"Does the testing strategy outline criteria to accept new information systems,
upgrades, and new versions while ensuring application security, compliance adherence,
and organizational speed of delivery goals?
"	Yes	CSP-owned	"All functional code changes are required to be thoroughly reviewed and tested by one or more engineers other than the author. All code changes are also required to have appropriate automated tests written before the change is accepted, both for new features and bug fixes. 
 
Once new code has passed peer review, the code is incorporated into the code base and submitted to testing and quality assurance. The new code is deployed to a continuous integration server where it is immediately tested. Instructure’s testing team runs the following types of tests: 
 
 _ Unit tests (testing code with code)
 _ Integration tests (testing code with integrations with other code)
 _ Browser tests (testing how code works in the browser) on all the different environments and across different databases.
 "				AIS-05	"Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.
"	Automated Application Security Testing	
AIS-05.2	"Is testing automated when applicable and possible?
"	Yes	CSP-owned								
AIS-06.1	"Are strategies and capabilities established and implemented to deploy application
code in a secure, standardized, and compliant manner?
"	Yes	CSP-owned					AIS-06	"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.
"	Automated Secure Application Deployment	
AIS-06.2	"Is the deployment and integration of application code automated where possible?
"	Yes	CSP-owned								
AIS-07.1	"Are application security vulnerabilities remediated following defined processes?
"	Yes	CSP-owned	"Identified vulnerabilities are assessed based on two factors: Impact and Likelihood. They are then rated High, Medium, or Low. For example, if a High security risk is detected that has a near-and-present-danger, fixing the vulnerability is given the highest priority by Instructure's security and engineering teams and security patches as such will be applied within twenty-four (24) hours by best commercial efforts."				AIS-07	"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.
"	Application Vulnerability Remediation	
AIS-07.2	"Is the remediation of application security vulnerabilities automated when
possible?
"	Yes	CSP-owned	"Instructure's security team conducts regular vulnerability scans of both our non-public assets and our production environments, using a number of internal and external tools, custom scripts, and monitoring agents to watch for open source libraries and dependancy vulnerabilities."							
BCR-01.1	"Are business continuity management and operational resilience policies and
procedures established, documented, approved, communicated, applied, evaluated,
and maintained?
"	Yes	CSP-owned	"Instructure has a documented Business Continuity/Disaster Recovery plan. These plans are tabletop-tested at least annually, and we frequently test our ability to restore from backup as part of our regular release cycle, as non-production sites are populated from production backups."				BCR-01	"Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually.
"	Business Continuity Management Policy and Procedures	Business Continuity Management and Operational Resilience
BCR-01.2	"Are the policies and procedures reviewed and updated at least annually?
"	Yes	CSP-owned								
BCR-02.1	"Are criteria for developing business continuity and operational resiliency
strategies and capabilities established based on business disruption and risk
impacts?
"	Yes	CSP-owned					BCR-02	"Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience strategies
and capabilities.
"	Risk Assessment and Impact Analysis	
BCR-03.1	"Are strategies developed to reduce the impact of, withstand, and recover from
business disruptions in accordance with risk appetite?
"	Yes	CSP-owned					BCR-03	"Establish strategies to reduce the impact of, withstand, and recover
from business disruptions within risk appetite.
"	Business Continuity Strategy	
BCR-04.1	"Are operational resilience strategies and capability results incorporated
to establish, document, approve, communicate, apply, evaluate, and maintain a
business continuity plan?
"	Yes	CSP-owned	"Instructure has a Business Continuity and Disaster Recovery plan which is reviewed annually and supported by the Executive Leadership Team, Security Team, and Engineering Team. An overview of the plans are available in our Compliance Packages available at: https://inst.bid/trust"				BCR-04	"Establish, document, approve, communicate, apply, evaluate and maintain
a business continuity plan based on the results of the operational resilience
strategies and capabilities.
"	Business Continuity Planning	
BCR-05.1	"Is relevant documentation developed, identified, and acquired to support business
continuity and operational resilience plans?
"	Yes	CSP-owned					BCR-05	"Develop, identify, and acquire documentation that is relevant to
support the business continuity and operational resilience programs. Make the
documentation available to authorized stakeholders and review periodically.
"	Documentation	
BCR-05.2	"Is business continuity and operational resilience documentation available
to authorized stakeholders?
"	Yes	CSP-owned	An overview of our Business Continuity and Disaster Recovery plan is available at https://inst.bid/trust							
BCR-05.3	"Is business continuity and operational resilience documentation reviewed periodically?
"	Yes	CSP-owned	At least annually.							
BCR-06.1	"Are the business continuity and operational resilience plans exercised and
tested at least annually and when significant changes occur?
"	Yes	CSP-owned					BCR-06	"Exercise and test business continuity and operational resilience
plans at least annually or upon significant changes.
"	Business Continuity Exercises	
BCR-07.1	"Do business continuity and resilience procedures establish communication with
stakeholders and participants?
"	Yes	CSP-owned					BCR-07	"Establish communication with stakeholders and participants in the
course of business continuity and resilience procedures.
"	Communication	
BCR-08.1	"Is cloud data periodically backed up?
"	Yes	CSP-owned	"Customer data is backed-up automatically both in real-time and on a 24-hour schedule to multiple geographic locations within the customer’s region, ensuring the security and reliability of data in the event of a disaster or outage of any scale. Data is backed up from one live database to another, with no additional load on our systems. Static files are stored in secure, geographically redundant storage systems. Recovery backups are encrypted using the AES-GCM 256-bit algorithm and stored within a highly-secured separate location."				BCR-08	"Periodically backup data stored in the cloud. Ensure the confidentiality,
integrity and availability of the backup, and verify data restoration from backup
for resiliency.
"	Backup	
BCR-08.2	"Is the confidentiality, integrity, and availability of backup data ensured?
"	Yes	CSP-owned	"Backups are immutable, encrypted using the AES-GCM 256-bit algorithm, and stored within a highly-secured separate location."							
BCR-08.3	"Can backups be restored appropriately for resiliency?
"	Yes	CSP-owned								
BCR-09.1	"Is a disaster response plan established, documented, approved, applied, evaluated,
and maintained to ensure recovery from natural and man-made disasters?
"	Yes	CSP-owned	An overview of our Business Continuity and Disaster Recovery plan is available at https://inst.bid/trust				BCR-09	"Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.
"	Disaster Response Plan	
BCR-09.2	"Is the disaster response plan updated at least annually, and when significant
changes occur?
"	Yes	CSP-owned								
BCR-10.1	"Is the disaster response plan exercised annually or when significant changes
occur?
"	Yes	CSP-owned					BCR-10	"Exercise the disaster response plan annually or upon significant
changes, including if possible local emergency authorities.
"	Response Plan Exercise	
BCR-10.2	"Are local emergency authorities included, if possible, in the exercise?
"	No	CSP-owned	"Instructure is a global and majority-remote workforce, and therefore, highly decentralized. We do not involve local emergency authorities during DR testing."							
BCR-11.1	"Is business-critical equipment supplemented with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards?
"	Yes	CSP-owned	"Instructure uses multiple AWS regions and Availability Zones (AZ) for business continuity and recovery. Each region has multiple, geographically-separate backup locations. For example, should a disaster occur within a customer's region, they can failover to another Availability Zone within their geographical region since data is near-time replicated across multiple Availability Zones. Static data is also replicated across multiple geographic locations in an AWS region (through AWS S3) and application servers use elastic load balancing (AWS ELB) to ensure that server resources are available and adjust automatically according to current load. In the most extreme scenarios, for example, the complete loss of a customer's hosting region, a disaster recovery process would occur and a customer would be moved to another AWS region for business continuity purposes until such time that their geographical region was made available again."				BCR-11	"Supplement business-critical equipment with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards.
"	Equipment Redundancy	
CCC-01.1	"Are risk management policies and procedures associated with changing organizational
assets including applications, systems, infrastructure, configuration, etc., established,
documented, approved, communicated, applied, evaluated and maintained (regardless
of whether asset management is internal or external)?
"	Yes	CSP-owned	Instructure's information security and risk management policies are founded on the guidance provided by the International Organization for Standardization's (ISO) 27000 suite of standards. Instructure is ISO 27001 certified.				CCC-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for managing the risks associated with applying changes
to organization assets, including application, systems, infrastructure, configuration,
etc., regardless of whether the assets are managed internally or externally
(i.e., outsourced). Review and update the policies and procedures at least annually.
"	Change Management Policy and Procedures	Change Control and Configuration Management
CCC-01.2	"Are the policies and procedures reviewed and updated at least annually?
"	Yes	CSP-owned	Instructure's policies and procedures are updated at least annually.							
CCC-02.1	"Is a defined quality change control, approval and testing process (with established
baselines, testing, and release standards) followed?
"	Yes	CSP-owned	"A documented change management process is in place, which is in line with SOC 2 Type II standards. A copy of Instructure's SOC 2 Type II reports are available under mutual NDA."				CCC-02	"Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.
"	Quality Testing	
CCC-03.1	"Are risks associated with changing organizational assets (including applications,
systems, infrastructure, configuration, etc.) managed, regardless of whether asset
management occurs internally or externally (i.e., outsourced)?
"	Yes	CSP-owned	"Instructure is conscientious about change management for our customers, and thus we take specific measures to eliminate difficulty through our approach.
 
 A) Instructure applies an Agile methodology with an integrated Quality Assurance (QA) process to the design, development, and maintenance of its products and services. Every day during the three-week cycle, Instructure's engineering team holds a “stand-up” meeting to review progress and discuss any concerns. Engineers write automated unit and integration tests to cover all new code that is written.
 B) All code changes are run through the full QA test suite and appropriately authorized before they can be accepted into the main product. Code changes are closely reviewed and must be peer-approved by other engineering team members before inclusion in the upgrade/update package.
 C) After the three-week development cycle, all changes are deployed to an internal staging server for additional QA testing. Instructure's QA team reviews all associated tickets, uses black-box testing of affected components, and also test standard application workflows. Notes are made on the internal tickets for these changes as needed. Any bugs that are found must be fixed during this QA period, otherwise the change is pulled for further development.
 D) Prior to release to the production environment, all upgrade/update packages are released to a non-production environment (by authorized staff) where the users of our client institutions can test drive and comment on new and changed features and functionality. Preliminary release notes are generated for the upcoming release and made available to all users at https://releases.instructure.com and updated during the QA process. Once the upgrade/update packages are ready for production, only authorized staff can deploy the changes.
 
 For more detail, Instructure's change management policies are outlined in our SOC 2 Type II reports, available for your review upon execution of a Non-Disclosure Agreement."				CCC-03	"Manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).
"	Change Management Technology	
CCC-04.1	"Is the unauthorized addition, removal, update, and management of organization
assets restricted?
"	Yes	CSP-owned	"Access to Instructure's architecture components are secured using AWS’s Key Management Service (KMS), allowing Instructure's Operations team to access encrypted data as needed. Instructure's Operations team controls generation and installation of keys for all employees with access to the servers. An automated configuration management system installs employee public keys on a per-server basis based on need. This same configuration process automatically revokes keys globally when necessary."				CCC-04	"Restrict the unauthorized addition, removal, update, and management
of organization assets.
"	Unauthorized Change Protection	
CCC-05.1	"Are provisions to limit changes that directly impact CSC-owned environments
and require tenants to authorize requests explicitly included within the service
level agreements (SLAs) between CSPs and CSCs?
"	Yes	CSP-owned	Instructure customers are informed of their roles and responsibilities within our master terms and conditions which can be found at: inst.bid/tos				CCC-05	"Include provisions limiting changes directly impacting CSCs owned
environments/tenants to explicitly authorized requests within service level
agreements between CSPs and CSCs.
"	Change Agreements	
CCC-06.1	"Are change management baselines established for all relevant authorized changes
on organizational assets?
"	Yes	CSP-owned					CCC-06	"Establish change management baselines for all relevant authorized
changes on organization assets.
"	Change Management Baseline	
CCC-07.1	"Are detection measures implemented with proactive notification if changes
deviate from established baselines?
"	Yes	CSP-owned	Instructure deploys a configuration management system which monitors for intentional/unintentional file “drift/skew” and will replace a “skewed or drifted” file with a “gold” copy on a regular basis.				CCC-07	"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.
"	Detection of Baseline Deviation	
CCC-08.1	"Is a procedure implemented to manage exceptions, including emergencies, in
the change and configuration process?
"	Yes	CSP-owned	Any exceptions are tracked and logged for resolution.				CCC-08	"'Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.'
"	Exception Management	
CCC-08.2	"'Is the procedure aligned with the requirements of the GRC-04: Policy Exception
Process?'
"	Yes	CSP-owned								
CCC-09.1	"Is a process to proactively roll back changes to a previously known ""good
state"" defined and implemented in case of errors or security concerns?
"	Yes	CSP-owned	Instructure's operations team has the ability to rollback updates in the event of a breaking change or outage.				CCC-09	"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.
"	Change Restoration	
CEK-01.1	"Are cryptography, encryption, and key management policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	Instructure's Security Team are responsible for the management of encryption and key management policies and procedures. These policies are updated at least annually and approved by relevant stakeholders.				CEK-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. Review
and update the policies and procedures at least annually.
"	Encryption and Key Management Policy and Procedures	"Cryptography, Encryption & Key Management"
CEK-01.2	"Are cryptography, encryption, and key management policies and procedures reviewed
and updated at least annually?
"	Yes	CSP-owned	At least annually.							
CEK-02.1	"Are cryptography, encryption, and key management roles and responsibilities
defined and implemented?
"	Yes	CSP-owned					CEK-02	"Define and implement cryptographic, encryption and key management
roles and responsibilities.
"	CEK Roles and Responsibilities	
CEK-03.1	"Are data at-rest and in-transit cryptographically protected using cryptographic
libraries certified to approved standards?
"	Yes	CSP-owned	"Inbound and outbound traffic (including through our API) is encrypted using TLS forward-secrecy-compliant SSL cipher suites (e.g. ECDHE-ECDSA-AES128-GCM-SHA256) to ensure that all personally-identifiable information, credentials exchange, page requests, and session data are secure. The acceptable cipher suite list is constantly maintained to ensure that no vulnerabilities are present. Data at rest is encrypted using the AES-GCM 256-bit algorithm."				CEK-03	"Provide cryptographic protection to data at-rest and in-transit,
using cryptographic libraries certified to approved standards.
"	Data Encryption	
CEK-04.1	"Are appropriate data protection encryption algorithms used that consider data
classification, associated risks, and encryption technology usability?
"	Yes	CSP-owned	"Instructure maintains data protection and handling procedures for different data types/classifications based on our Data Classification, Handling, and Encryption Policy. Instructure classifies data considering the associated risks of the data. Encryption and access control protection mechanisms for each data classification are defined within the policy."				CEK-04	"Use encryption algorithms that are appropriate for data protection,
considering the classification of data, associated risks, and usability of the
encryption technology.
"	Encryption Algorithm	
CEK-05.1	"Are standard change management procedures established to review, approve,
implement and communicate cryptography, encryption, and key management technology
changes that accommodate internal and external sources?
"	Yes	CSP-owned	"Instructure maintains data protection and handling procedures for different data types/classifications based on our Data Classification, Handling, and Encryption Policy. For cryptographic Key Management, we ensure:
 
 a. Cryptographic keys are generated and stored in a secure manner that prevents loss, theft, or compromise.
 b. Cryptographic keys are never stored in clear text in code repositories.
 c. Only authorized personnel have access to plaintext cryptographic keys.
 d. User access to cryptographic keys is documented and approved.
 e. User access to cryptographic keys is reviewed quarterly for appropriateness.
 f. Production encryption keys are not used outside of production environments.
 g. Cryptographic keys are replaced if the confidentiality or integrity is suspected of being compromised.
 h. Cryptographic keys are rotated when personnel having plaintext access are terminated.
 i. Cryptographic keys are rotated at least once annually.
 j. All key management activities should be logged and audited to identify misuse."				CEK-05	"Establish a standard change management procedure, to accommodate
changes from internal and external sources, for review, approval, implementation
and communication of cryptographic, encryption and key management technology
changes.
"	Encryption Change Management	
CEK-06.1	"Are changes to cryptography-, encryption- and key management-related systems,
policies, and procedures, managed and adopted in a manner that fully accounts
for downstream effects of proposed changes, including residual risk, cost, and
benefits analysis?
"	Yes	CSP-owned					CEK-06	"Manage and adopt changes to cryptography-, encryption-, and key management-related
systems (including policies and procedures) that fully account for downstream
effects of proposed changes, including residual risk, cost, and benefits analysis.
"	Encryption Change Cost Benefit Analysis	
CEK-07.1	"Is a cryptography, encryption, and key management risk program established
and maintained that includes risk assessment, risk treatment, risk context, monitoring,
and feedback provisions?
"	Yes	CSP-owned	"Cryptography, encryption and key management risk is part of Instructure's Security and Risk Management program."				CEK-07	"Establish and maintain an encryption and key management risk program
that includes provisions for risk assessment, risk treatment, risk context,
monitoring, and feedback.
"	Encryption Risk Management	
CEK-08.1	"Are CSPs providing CSCs with the capacity to manage their own data encryption
keys?
"	No	CSP-owned	"As a multi-tenant Software as a Service platform, Instructure manages tenant encryption keys globally."				CEK-08	"CSPs must provide the capability for CSCs to manage their own data
encryption keys.
"	CSC Key Management Capability	
CEK-09.1	"Are encryption and key management systems, policies, and processes audited
with a frequency proportional to the system's risk exposure, and after any security
event?
"	Yes	CSP-owned	"At least annually, and after a security event."				CEK-09	"Audit encryption and key management systems, policies, and processes
with a frequency that is proportional to the risk exposure of the system with
audit occurring preferably continuously but at least annually and after any
security event(s).
"	Encryption and Key Management Audit	
CEK-09.2	"Are encryption and key management systems, policies, and processes audited
(preferably continuously but at least annually)?
"	Yes	CSP-owned	At least annually.							
CEK-10.1	"Are cryptographic keys generated using industry-accepted and approved cryptographic
libraries that specify algorithm strength and random number generator specifications?
"	Yes	CSP-owned					CEK-10	"Generate Cryptographic keys using industry accepted cryptographic
libraries specifying the algorithm strength and the random number generator
used.
"	Key Generation	
CEK-11.1	"Are private keys provisioned for a unique purpose managed, and is cryptography
secret?
"	Yes	CSP-owned					CEK-11	"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
"	Key Purpose	
CEK-12.1	"Are cryptographic keys rotated based on a cryptoperiod calculated while considering
information disclosure risks and legal and regulatory requirements?
"	Yes	CSP-owned	Keys are rotated at least annually and can be rapidly rotated if compromised.				CEK-12	"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
"	Key Rotation	
CEK-13.1	"Are cryptographic keys revoked and removed before the end of the established
cryptoperiod (when a key is compromised, or an entity is no longer part of the
organization) per defined, implemented, and evaluated processes, procedures, and
technical measures to include legal and regulatory requirement provisions?
"	Yes	CSP-owned	Instructure's Operations team controls generation and installation of keys for all employees. An automated configuration management system installs employee public keys on a per-server basis based on need. This same configuration process automatically revokes keys globally when necessary.				CEK-13	"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
"	Key Revocation	
CEK-14.1	"Are processes, procedures and technical measures to destroy unneeded keys
defined, implemented and evaluated to address key destruction outside secure environments,
revocation of keys stored in hardware security modules (HSMs), and include applicable
legal and regulatory requirement provisions?
"	Yes	CSP-owned	Please see CEK-13.1.				CEK-14	"Define, implement and evaluate processes, procedures and technical
measures to destroy keys stored outside a secure environment and revoke keys
stored in Hardware Security Modules (HSMs) when they are no longer needed, which
include provisions for legal and regulatory requirements.
"	Key Destruction	
CEK-15.1	"Are processes, procedures, and technical measures to create keys in a pre-activated
state (i.e., when they have been generated but not authorized for use) being defined,
implemented, and evaluated to include legal and regulatory requirement provisions?
"	Yes	CSP-owned	An automated configuration management system generates and installs employee public keys based on need. This same configuration process automatically revokes keys globally when necessary.				CEK-15	"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
"	Key Activation	
CEK-16.1	"Are processes, procedures, and technical measures to monitor, review and approve
key transitions (e.g., from any state to/from suspension) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
"	Yes	CSP-owned					CEK-16	"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
"	Key Suspension	
CEK-17.1	"Are processes, procedures, and technical measures to deactivate keys (at the
time of their expiration date) being defined, implemented, and evaluated to include
legal and regulatory requirement provisions?
"	Yes	CSP-owned					CEK-17	"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
"	Key Deactivation	
CEK-18.1	"Are processes, procedures, and technical measures to manage archived keys
in a secure repository (requiring least privilege access) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
"	Yes	CSP-owned					CEK-18	"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
"	Key Archival	
CEK-19.1	"Are processes, procedures, and technical measures to use compromised keys to
encrypt information in specific scenarios (e.g., only in controlled circumstances
and thereafter only for data decryption and never for encryption) defined,
implemented, and evaluated to include legal and regulatory requirement provisions?
"	Yes	CSP-owned	"Instructure maintains a Data Classification, Handling, and Encryption Policy which includes approved encryption requirements."				CEK-19	"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
"	Key Compromise	
CEK-20.1	"Are processes, procedures, and technical measures to assess operational continuity
risks (versus the risk of losing control of keying material and exposing protected
data) being defined, implemented, and evaluated to include legal and regulatory
requirement provisions?
"	Yes	CSP-owned	"Instructure maintains a Data Classification, Handling, and Encryption Policy which includes a number of cryptographic key management controls that are regularly reviewed and approved by relevant stakeholders, and take into consideration all legal and regulatory requirements."				CEK-20	"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
"	Key Recovery	
CEK-21.1	"Are key management system processes, procedures, and technical measures being
defined, implemented, and evaluated to track and report all cryptographic materials
and status changes that include legal and regulatory requirements provisions?
"	Yes	CSP-owned	"Instructure maintains a Data Classification, Handling, and Encryption Policy which includes a number of cryptographic key management controls that are regularly reviewed and approved by relevant stakeholders, and take into consideration all legal and regulatory requirements."				CEK-21	"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
"	Key Inventory Management	
